Permission,Role,Role Type
accessapproval.requests.approve,Owner (roles/owner),Basics Role
accessapproval.requests.approve,Access Approval Approver (roles/accessapproval.approver),Predefined Role
accessapproval.requests.dismiss,Owner (roles/owner),Basics Role
accessapproval.requests.dismiss,Access Approval Approver (roles/accessapproval.approver),Predefined Role
accessapproval.requests.get,Owner (roles/owner),Basics Role
accessapproval.requests.get,Editor (roles/editor),Basics Role
accessapproval.requests.get,Viewer (roles/viewer),Basics Role
accessapproval.requests.get,Access Approval Approver (roles/accessapproval.approver),Predefined Role
accessapproval.requests.get,Access Approval Viewer (roles/accessapproval.viewer),Predefined Role
accessapproval.requests.invalidate,Owner (roles/owner),Basics Role
accessapproval.requests.invalidate,Access Approval Approver (roles/accessapproval.approver),Predefined Role
accessapproval.requests.invalidate,Access Approval Invalidator (roles/accessapproval.invalidator),Predefined Role
accessapproval.requests.list,Owner (roles/owner),Basics Role
accessapproval.requests.list,Editor (roles/editor),Basics Role
accessapproval.requests.list,Viewer (roles/viewer),Basics Role
accessapproval.requests.list,Access Approval Approver (roles/accessapproval.approver),Predefined Role
accessapproval.requests.list,Access Approval Viewer (roles/accessapproval.viewer),Predefined Role
accessapproval.requests.list,Security Admin (roles/iam.securityAdmin),Predefined Role
accessapproval.requests.list,Security Reviewer (roles/iam.securityReviewer),Predefined Role
accessapproval.settings.delete,Owner (roles/owner),Basics Role
accessapproval.settings.delete,Access Approval Config Editor (roles/accessapproval.configEditor),Predefined Role
accessapproval.settings.get,Owner (roles/owner),Basics Role
accessapproval.settings.get,Editor (roles/editor),Basics Role
accessapproval.settings.get,Viewer (roles/viewer),Basics Role
accessapproval.settings.get,Access Approval Approver (roles/accessapproval.approver),Predefined Role
accessapproval.settings.get,Access Approval Config Editor (roles/accessapproval.configEditor),Predefined Role
accessapproval.settings.get,Access Approval Invalidator (roles/accessapproval.invalidator),Predefined Role
accessapproval.settings.get,Access Approval Viewer (roles/accessapproval.viewer),Predefined Role
accessapproval.settings.update,Owner (roles/owner),Basics Role
accessapproval.settings.update,Access Approval Config Editor (roles/accessapproval.configEditor),Predefined Role
accesscontextmanager.accessLevels.create,Owner (roles/owner),Basics Role
accesscontextmanager.accessLevels.create,Editor (roles/editor),Basics Role
accesscontextmanager.accessLevels.create,Access Context Manager Admin (roles/accesscontextmanager.policyAdmin),Predefined Role
accesscontextmanager.accessLevels.create,Access Context Manager Editor (roles/accesscontextmanager.policyEditor),Predefined Role
accesscontextmanager.accessLevels.delete,Owner (roles/owner),Basics Role
accesscontextmanager.accessLevels.delete,Editor (roles/editor),Basics Role
accesscontextmanager.accessLevels.delete,Access Context Manager Admin (roles/accesscontextmanager.policyAdmin),Predefined Role
accesscontextmanager.accessLevels.delete,Access Context Manager Editor (roles/accesscontextmanager.policyEditor),Predefined Role
accesscontextmanager.accessLevels.get,Owner (roles/owner),Basics Role
accesscontextmanager.accessLevels.get,Editor (roles/editor),Basics Role
accesscontextmanager.accessLevels.get,Viewer (roles/viewer),Basics Role
accesscontextmanager.accessLevels.get,Access Context Manager Admin (roles/accesscontextmanager.policyAdmin),Predefined Role
accesscontextmanager.accessLevels.get,Access Context Manager Editor (roles/accesscontextmanager.policyEditor),Predefined Role
accesscontextmanager.accessLevels.get,Access Context Manager Reader (roles/accesscontextmanager.policyReader),Predefined Role
accesscontextmanager.accessLevels.get,VPC Service Controls Troubleshooter Viewer (roles/accesscontextmanager.vpcScTroubleshooterViewer),Predefined Role
accesscontextmanager.accessLevels.list,Owner (roles/owner),Basics Role
accesscontextmanager.accessLevels.list,Editor (roles/editor),Basics Role
accesscontextmanager.accessLevels.list,Viewer (roles/viewer),Basics Role
accesscontextmanager.accessLevels.list,Access Context Manager Admin (roles/accesscontextmanager.policyAdmin),Predefined Role
accesscontextmanager.accessLevels.list,Access Context Manager Editor (roles/accesscontextmanager.policyEditor),Predefined Role
accesscontextmanager.accessLevels.list,Access Context Manager Reader (roles/accesscontextmanager.policyReader),Predefined Role
